countryname,cityname,citycode,type,median,mean,sd,lower_20,upper_20,lower_50,upper_50,lower_90,upper_90
Mexico,CIUDAD DE MÉXICO,vlom.mex9814,fixed,0.08,0.08,0.02,0.08,0.08,0.06,0.09,0.05,0.11
Chile,Valparaíso,vlpr.chl0414,fixed,0.04,0.04,0.02,0.03,0.04,0.02,0.05,0,0.08
Canada,Vancouver Health Service Delivery Area,vncv.can8615,fixed,0.16,0.16,0.03,0.15,0.16,0.14,0.18,0.11,0.22
United States,Vancouver,vncv.usa7306,fixed,-0.08,-0.08,0.14,-0.12,-0.05,-0.16,0.03,-0.32,0.14
United States,ventura,vntr.usa7306,fixed,0.12,0.12,0.02,0.11,0.12,0.1,0.13,0.08,0.15
Italy,Viterbo,vtrb.ita0615,fixed,0.11,0.11,0.08,0.09,0.13,0.06,0.16,-0.01,0.23
United States,wichita,wcht.usa7306,fixed,0.1,0.1,0.05,0.08,0.1,0.07,0.14,0.01,0.18
United Kingdom,Wigan,wign.uk9016,fixed,0.1,0.1,0.04,0.1,0.11,0.08,0.13,0.04,0.16
United States,Wilmington,wlmn.usa7306,fixed,0.14,0.14,0.02,0.13,0.14,0.12,0.15,0.1,0.17
Canada,Winnipeg Regional Health Authority,wnnp.can8615,fixed,0.14,0.14,0.1,0.1,0.14,0.08,0.19,-0.01,0.29
United States,Winston-Salem,wnst.usa7306,fixed,0.11,0.11,0.04,0.1,0.12,0.08,0.13,0.04,0.18
United Kingdom,Worcester,wrcs.uk9016,fixed,0.08,0.08,0.06,0.07,0.1,0.04,0.13,-0.02,0.18
United States,Worcester,wrcs.usa7306,fixed,0.13,0.13,0.03,0.11,0.13,0.11,0.14,0.08,0.17
United Kingdom,Warrington,wrrn.uk9016,fixed,0.11,0.11,0.04,0.09,0.11,0.08,0.13,0.04,0.18
United States,washington (DC),wsdc.usa7306,fixed,0.13,0.14,0.02,0.12,0.13,0.12,0.15,0.1,0.17
United States,Washington,wshn.usa7306,fixed,0.1,0.1,0.02,0.1,0.11,0.09,0.11,0.07,0.14
United Kingdom,Birmingham,wstm.uk9016,fixed,0.13,0.13,0.02,0.13,0.13,0.12,0.14,0.1,0.16
China,Wuhan,wuhn.chi9615,fixed,0.18,0.19,0.04,0.16,0.18,0.16,0.21,0.12,0.25
China,Xi'An,xian.chi9615,fixed,0,0,0.03,-0.01,0,-0.03,0.01,-0.06,0.04
Japan,Kanagawa,ykhm.jap1115,fixed,0.12,0.12,0.05,0.12,0.14,0.08,0.15,0.03,0.2
United States,Youngstown,yngs.usa7306,fixed,0.09,0.09,0.03,0.08,0.09,0.07,0.11,0.05,0.15
United States,york,york.usa7306,fixed,0.14,0.14,0.04,0.13,0.15,0.12,0.16,0.08,0.2
Spain,Zamora,zamr.spa9014,fixed,0.1,0.1,0.02,0.09,0.1,0.08,0.11,0.07,0.12
Switzerland,Zurich,zrch.sui9513,fixed,0.17,0.17,0.02,0.16,0.17,0.16,0.18,0.13,0.21
Spain,Zaragoza,zrgz.spa9014,fixed,0.17,0.17,0.02,0.16,0.17,0.15,0.18,0.14,0.2
